id,reaction_equation,reactants,catalyst,reaction_conditon,products,reaction_effect,reaction_type,desc
主键,反应方程式,反应物列表,催化剂,反应条件,产物列表,反应效果,反应类型,描述
int,String,String,String,String,String,String,String,String
1,2H2 + O2 -> 2H2O,H2|O2,无,加热,H2O,生成水,化合反应,氢气和氧气反应生成水
2,CH4 + 2O2 -> CO2 + 2H2O,CH4|O2,无,点燃,CO2|H2O,完全燃烧,氧化反应,甲烷燃烧
3,2Na + 2H2O -> 2NaOH + H2↑,Na|H2O,无,常温,NaOH|H2,生成氢气和氢氧化钠,置换反应,钠与水反应
4,CaCO3 -> CaO + CO2↑,CaCO3,无,高温,CaO+CO2,分解生成生石灰和二氧化碳,分解反应,碳酸钙热分解
5,N2 + 3H2 -> 2NH3,N2|H2,Fe,高温高压,NH3,合成氨,化合反应,哈柏法合成氨
6,2KClO3 -> 2KCl + 3O2↑,KClO3,MnO2,加热,KCl|O2,生成氧气,分解反应,氯酸钾分解制氧气
7,Zn + H2SO4 -> ZnSO4 + H2↑,Zn|H2SO4,,常温,ZnSO4|H2,生成氢气,置换反应,锌与稀硫酸反应
8,2Al + Fe2O3 -> 2Fe + Al2O3,Al|Fe2O3,,高温,Fe|Al2O3,铝热反应,置换反应,铝热剂反应
9,Ca(OH)2 + CO2 -> CaCO3↓ + H2O,Ca(OH)2|CO2,,常温,CaCO3|H2O,生成白色沉淀,复分解反应,检验二氧化碳
10,Mg + Cl2 -> MgCl2,Mg|Cl2,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,点燃,MgCl2,剧烈燃烧,化合反应,镁在氯气中燃烧
11,Mg + Cl2 -> MgCl2,所发生的,士大夫,速度,撒旦,s的f,s的f,sd f
