id,reaction_equation,reactants,catalyst,reaction_conditon,products,reaction_effect,reaction_type,desc
主键,反应方程式,反应物列表,催化剂,反应条件,产物列表,反应效果,反应类型,描述
int,String,String,String,String,String,String,String,String
2,2H₂ + O₂ -> 2H₂O,H₂|O₂,,,H₂O,,,
3,H₂ + F₂ -> 2HF,H₂|F₂,,,HF,,,
4,2Li +H₂ -> 2LiH,Li|H₂,,,LiH,,,
7,2Li + 2H₂O -> 2LiOH + H₂,Li|H₂O,,,LiOH|H₂,,,
8,Li₂O + H₂O -> 2LiOH,Li₂O|H₂O,,,LiOH,,,
9,4Li + O₂ -> 2Li₂O,Li|O₂,,,Li₂O,,,
10,2LiOH -> Li₂O + H₂O,LiOH,,,Li₂O|H₂O,,,
12,2Be + O₂ -> 2BeO,Be|O₂,,,BeO,,,
13,3Be + N₂ -> Be₃N₂,Be|N₂,,,Be₃N₂,,,
14,3Be + 2NH₃ -> Be₃N₂ + 3H₂,Be|NH₃,,,Be₃N₂|H₂,,,
15,Be + F₂ -> BeF₂,Be|F₂,,,BeF₂,,,
17,4B + 3O₂ -> 2B₂O3,B|O₂,,,B₂O3,,,
18,2B + 3F₂ -> 2BF₃,B|F₂,,,BF₃,,,
19,2B₂O₃ + 7C -> B₄C + 6CO,B₂O₃|C,,,B₄C|CO,,,
21,2C + O₂ -> 2CO,C|O₂,,,CO,,,
22,C + O₂ -> CO₂,C|O₂,,,CO₂,,,
23,CO₂ + H₂O -> CO + H₂,CO₂|H₂O,,,CO|H₂,,,
24,2CO + C -> CO₂,CO|C,,,CO₂,,,
26,N₂ + 3H₂ -> 2NH3,N₂|H₂,,,NH3,,,
27,4NH₃ + 5O₂ -> 4NO+6H₂O,NH₃|O₂,,,NO|H₂O,,,
28,6Li + N₂ -> 2Li₃N,Li|N₂,,,Li₃N,,,
29,Li₃N + 3H₂O -> 3LiOH+NH3,Li₃N|H₂O,,,LiOH|NH3,,,
30,6Li + N2 -> 2Li₃N,Li|N2,,,Li₃N,,,
31,2B + N₂ -> 2BN,B|N₂,,,BN,,,
